Handle,product.metafields.shopify--discovery--product_recommendation.related_products,Tt
10k-type-immersion-temperature-sensor,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;10k-type-weatherproof-temperature-sensor;10k-type-outdoor-air-temperature-sensor;modbus-type-temperature-and-humidity-combination-sensor;temperature-humidity-and-co2-combination-sensor;rtd-probe-with-4-20ma-transmitter,"10K Type Immersion Temperature Sensor"
10k-type-indoor-decorator-zone-temperature-sensor,28k-type-weatherproof-temperature-sensor;accessory-wire;contact-type-temp-alert-temperature-switch;28k-type-ultra-low-temperature-sensor;10k-type-weatherproof-temperature-sensor;10k-type-outdoor-air-temperature-sensor;10k-type-immersion-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display;28k-type-temperature-sensor-in-glycol-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;vfc-refrigerator-temperature-sensor-with-display,"10K Type Indoor Decorator Zone Temperature Sensor"
10k-type-outdoor-air-temperature-sensor,28k-type-room-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;10k-type-weatherproof-temperature-sensor;10k-type-immersion-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display;28k-type-temperature-sensor-in-glycol-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;vfc-refrigerator-temperature-sensor-with-display,"10K Type Outdoor Air Temperature Sensor"
10k-type-weatherproof-temperature-sensor,28k-type-room-temperature-sensor;28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;10k-type-outdoor-air-temperature-sensor;10k-type-immersion-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display,"10K Type Weatherproof Temperature Sensor"
28k-type-room-temperature-sensor,28k-type-weatherproof-temperature-sensor;accessory-wire;contact-type-temp-alert-temperature-switch;28k-type-ultra-low-temperature-sensor;10k-type-weatherproof-temperature-sensor;10k-type-indoor-decorator-zone-temperature-sensor;10k-type-outdoor-air-temperature-sensor;10k-type-immersion-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display,"2.8k Type Room Temperature Sensor"
28k-type-temperature-sensor-display,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-in-glycol-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;rtd-probe-with-4-20ma-transmitter;vfc-refrigerator-temperature-sensor-with-display,"2.8K Type Temperature Sensor Display"
28k-type-temperature-sensor-in-glass-bead-vial,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;28k-type-temperature-sensor-display;28k-type-temperature-sensor-in-glycol-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;vfc-refrigerator-temperature-sensor-with-display,"2.8K Type Temperature Sensor in Glass Bead Vial"
28k-type-temperature-sensor-in-glycol-vial,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;vfc-refrigerator-temperature-sensor-with-display,"2.8k Type Temperature Sensor in Glycol Vial"
28k-type-ultra-low-temperature-sensor,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display;28k-type-temperature-sensor-in-glycol-vial;vfc-refrigerator-temperature-sensor-with-display,"2.8K Type Ultra Low Temperature Sensor"
28k-type-ultra-low-temperature-sensor-in-glass-bead-vial,accessory-wire;28k-type-ultra-low-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display;28k-type-temperature-sensor-in-glycol-vial;28k-type-ultra-low-temperature-sensor-in-glycol-bottle;rtd-probe-with-4-20ma-transmitter;vfc-refrigerator-temperature-sensor-with-display,"2.8K Type Ultra Low Temperature Sensor in Glass Bead Vial"
28k-type-ultra-low-temperature-sensor-in-glycol-bottle,28k-type-weatherproof-temperature-sensor;accessory-wire;28k-type-ultra-low-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-ultra-low-temperature-sensor-in-glass-bead-vial;rtd-probe-with-4-20ma-transmitter;vfc-refrigerator-temperature-sensor-with-display,"2.8K Type Ultra Low Temperature Sensor in Glycol Bottle"
28k-type-weatherproof-temperature-sensor,accessory-wire;28k-type-ultra-low-temperature-sensor;10k-type-weatherproof-temperature-sensor;10k-type-outdoor-air-temperature-sensor;28k-type-temperature-sensor-in-glass-bead-vial;28k-type-temperature-sensor-display,"2.8K Type Weatherproof Temperature Sensor"
24vdc-power-supply-accessory-for-4-20ma-sensors,accessory-wire;4-20ma-type-humidity-sensor;4-20ma-type-outdoor-humidity-transmitter;4-20ma-type-duct-mount-humidity-sensor;4-20ma-type-dew-point-sensor;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory;4-20ma-type-split-core-current-sensor,"24VDC Power Supply Accessory for 4-20mA Sensors"
24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup,4-20ma-type-humidity-sensor;4-20ma-type-outdoor-humidity-transmitter;4-20ma-type-duct-mount-humidity-sensor;4-20ma-type-dew-point-sensor;modbus-type-temperature-and-humidity-combination-sensor;4-20ma-type-dual-flow-and-temperature-sensor;4-20ma-type-pressure-sensor;4-20ma-type-differential-pressure-sensor;4-20ma-type-vibration-sensor,"24VDC Power Supply Accessory for 4-20mA Sensors w/ Battery Backup"
4-20ma-duct-mount-carbon-dioxide-co2-transmitter,4-20ma-type-carbon-monoxide-sensor;4-20ma-type-carbon-dioxide-co2-sensor;4-20ma-type-duct-mount-air-flow-transmitter;temperature-humidity-and-co2-combination-sensor,"4-20mA Duct Mount Carbon Dioxide (CO2) Transmitter"
4-20ma-outdoor-carbon-dioxide-co2-transmitter,accessory-wire;4-20ma-type-carbon-dioxide-co2-sensor;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup,"4-20mA Outdoor Carbon Dioxide (CO2) Transmitter"
4-20ma-type-carbon-dioxide-co2-sensor,24vdc-power-supply-accessory-for-4-20ma-sensors;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory,"4-20mA Type Carbon Dioxide (CO2) Sensor"
4-20ma-type-carbon-monoxide-sensor,4-20ma-type-carbon-dioxide-co2-sensor;4-20ma-type-duct-mount-air-flow-transmitter;temperature-humidity-and-co2-combination-sensor;4-20ma-type-dual-flow-and-temperature-sensor;4-20ma-type-pressure-sensor;4-20ma-type-differential-pressure-sensor;4-20ma-type-vibration-sensor,"4-20mA Type Carbon Monoxide Sensor"
4-20ma-type-dew-point-sensor,contact-type-spot-water-detection-sensor;4-20ma-type-humidity-sensor;4-20ma-type-outdoor-humidity-transmitter;4-20ma-type-duct-mount-humidity-sensor;contact-type-zone-water-detection-sensor;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory;4-20ma-type-soil-moisture-sensor,"4-20mA Type Dew Point Sensor"
4-20ma-type-dual-flow-and-temperature-sensor,accessory-wire;24vdc-power-supply-accessory-for-4-20ma-sensors;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory,"4-20mA Type Dual Flow & Temperature Sensor"
4-20ma-type-duct-mount-air-flow-transmitter,accessory-wire;4-20ma-type-carbon-monoxide-sensor;4-20ma-type-carbon-dioxide-co2-sensor;24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup;din-rail-mount-24v-power-supply-accessory;temperature-humidity-and-co2-combination-sensor,"4-20mA Type Duct Mount Air Flow Transmitter"
