"Product Name",Handle,"Old Product ID"
"1 Month Sentinel Cellular Subscription",1-month-sentinel-cellular-subscription,275
"1 Month Sentinel Premium Ethernet Subscription",1-month-sentinel-premium-ethernet-subscription,281
"1 Month Sentinel Pro Cellular Subscription",1-month-sentinel-pro-cellular-subscription,293
"1 Month Sentinel Pro Premium Ethernet Subscription",1-month-sentinel-pro-premium-ethernet-subscription,287
"1 Month Sentry Cellular Subscription",1-month-sentry-cellular-subscription,299
"1 Month Stratus EMS Premium Ethernet Subscription",1-month-stratus-ems-premium-ethernet-subscription,269
"1 Year Sentinel Cellular Subscription",1-year-sentinel-cellular-subscription,276
"1 Year Sentinel Premium Ethernet Subscription",1-year-sentinel-premium-ethernet-subscription,282
"1 Year Sentinel Pro Cellular Subscription",1-year-sentinel-pro-cellular-subscription,294
"1 Year Sentinel Pro Premium Ethernet Subscription",1-year-sentinel-pro-premium-ethernet-subscription,288
"1 Year Sentry Cellular Subscription",1-year-sentry-cellular-subscription,300
"1 Year Stratus EMS Premium Ethernet Subscription",1-year-stratus-ems-premium-ethernet-subscription,270
"10K Type Immersion Temperature Sensor",10k-type-immersion-temperature-sensor,166
"10K Type Indoor Decorator Zone Temperature Sensor",10k-type-indoor-decorator-zone-temperature-sensor,164
"10K Type Outdoor Air Temperature Sensor",10k-type-outdoor-air-temperature-sensor,165
"10K Type Weatherproof Temperature Sensor",10k-type-weatherproof-temperature-sensor,162
"2 Year Sentinel Cellular Subscription",2-year-sentinel-cellular-subscription,277
"2 Year Sentinel Premium Ethernet Subscription",2-year-sentinel-premium-ethernet-subscription,283
"2 Year Sentinel Pro Cellular Subscription",2-year-sentinel-pro-cellular-subscription,295
"2 Year Sentinel Pro Premium Ethernet Subscription",2-year-sentinel-pro-premium-ethernet-subscription,289
"2 Year Sentry Cellular Subscription",2-year-sentry-cellular-subscription,301
"2 Year Stratus EMS Premium Ethernet Subscription",2-year-stratus-ems-premium-ethernet-subscription,271
"2.8k Type Room Temperature Sensor",28k-type-room-temperature-sensor,115
"2.8K Type Temperature Sensor Display",28k-type-temperature-sensor-display,174
"2.8K Type Temperature Sensor in Glass Bead Vial",28k-type-temperature-sensor-in-glass-bead-vial,167
"2.8k Type Temperature Sensor in Glycol Vial",28k-type-temperature-sensor-in-glycol-vial,175
"2.8K Type Ultra Low Temperature Sensor",28k-type-ultra-low-temperature-sensor,160
"2.8K Type Ultra Low Temperature Sensor in Glass Bead Vial",28k-type-ultra-low-temperature-sensor-in-glass-bead-vial,169
"2.8K Type Ultra Low Temperature Sensor in Glycol Bottle",28k-type-ultra-low-temperature-sensor-in-glycol-bottle,177
"2.8K Type Weatherproof Temperature Sensor",28k-type-weatherproof-temperature-sensor,117
"24VDC Power Supply Accessory for 4-20mA Sensors",24vdc-power-supply-accessory-for-4-20ma-sensors,140
