bigcommerce_product_id,shopify_product_id,shopify_variant_id,sku,handle,title
275,10201321931066,53038695416122,SCD-1200-1MCELL,1-month-sentinel-cellular-subscription,"1 Month Sentinel Cellular Subscription"
281,10201322160442,53038696366394,SCD-1200-1METH,1-month-sentinel-premium-ethernet-subscription,"1 Month Sentinel Premium Ethernet Subscription"
293,10201322717498,53038698660154,SCD-PRO-1MCELL,1-month-sentinel-pro-cellular-subscription,"1 Month Sentinel Pro Cellular Subscription"
287,10201322455354,53038697218362,SCD-PRO-1METH,1-month-sentinel-pro-premium-ethernet-subscription,"1 Month Sentinel Pro Premium Ethernet Subscription"
299,10201322946874,53038700101946,SNT-0500-1MCELL,1-month-sentry-cellular-subscription,"1 Month Sentry Cellular Subscription"
269,10201321701690,53038694596922,EMS-7600-1METH,1-month-stratus-ems-premium-ethernet-subscription,"1 Month Stratus EMS Premium Ethernet Subscription"
276,10201321963834,53038695547194,SCD-1200-1YCELL,1-year-sentinel-cellular-subscription,"1 Year Sentinel Cellular Subscription"
282,10201322193210,53038696464698,SCD-1200-1YETH,1-year-sentinel-premium-ethernet-subscription,"1 Year Sentinel Premium Ethernet Subscription"
294,10201322750266,53038698922298,SCD-PRO-1YCELL,1-year-sentinel-pro-cellular-subscription,"1 Year Sentinel Pro Cellular Subscription"
288,10201322488122,53038697447738,SCD-PRO-1YETH,1-year-sentinel-pro-premium-ethernet-subscription,"1 Year Sentinel Pro Premium Ethernet Subscription"
300,10201322979642,53038700233018,SNT-0500-1YCELL,1-year-sentry-cellular-subscription,"1 Year Sentry Cellular Subscription"
270,10201321767226,53038694826298,EMS-7600-1YETH,1-year-stratus-ems-premium-ethernet-subscription,"1 Year Stratus EMS Premium Ethernet Subscription"
166,10201316098362,53038665662778,FGD-0105,10k-type-immersion-temperature-sensor,"10K Type Immersion Temperature Sensor"
164,10201316000058,53038665138490,FGD-0103,10k-type-indoor-decorator-zone-temperature-sensor,"10K Type Indoor Decorator Zone Temperature Sensor"
165,10201316065594,53038665302330,FGD-0104,10k-type-outdoor-air-temperature-sensor,"10K Type Outdoor Air Temperature Sensor"
162,10201315901754,53038664745274,FGD-0102,10k-type-weatherproof-temperature-sensor,"10K Type Weatherproof Temperature Sensor"
162,10201315901754,53038664778042,FGD-0102-NIST,10k-type-weatherproof-temperature-sensor,"10K Type Weatherproof Temperature Sensor"
277,10201321996602,53038695711034,SCD-1200-2YCELL,2-year-sentinel-cellular-subscription,"2 Year Sentinel Cellular Subscription"
283,10201322225978,53038696595770,SCD-1200-2YETH,2-year-sentinel-premium-ethernet-subscription,"2 Year Sentinel Premium Ethernet Subscription"
295,10201322783034,53038699086138,SCD-PRO-2YCELL,2-year-sentinel-pro-cellular-subscription,"2 Year Sentinel Pro Cellular Subscription"
289,10201322520890,53038697677114,SCD-PRO-2YETH,2-year-sentinel-pro-premium-ethernet-subscription,"2 Year Sentinel Pro Premium Ethernet Subscription"
301,10201323045178,53038700495162,SNT-0500-2YCELL,2-year-sentry-cellular-subscription,"2 Year Sentry Cellular Subscription"
271,10201321799994,53038694891834,EMS-7600-2YETH,2-year-stratus-ems-premium-ethernet-subscription,"2 Year Stratus EMS Premium Ethernet Subscription"
115,10201309806906,53038630469946,FGD-0100,28k-type-room-temperature-sensor,"2.8k Type Room Temperature Sensor"
174,10201316524346,53038667825466,FGD-0120,28k-type-temperature-sensor-display,"2.8K Type Temperature Sensor Display"
167,10201316163898,53038665957690,FGD-0107-NIST,28k-type-temperature-sensor-in-glass-bead-vial,"2.8K Type Temperature Sensor in Glass Bead Vial"
167,10201316163898,53038665990458,FGD-0107,28k-type-temperature-sensor-in-glass-bead-vial,"2.8K Type Temperature Sensor in Glass Bead Vial"
175,10201316622650,53038668251450,FGD-0127,28k-type-temperature-sensor-in-glycol-vial,"2.8k Type Temperature Sensor in Glycol Vial"
175,10201316622650,53038668284218,FGD-0127-NIST,28k-type-temperature-sensor-in-glycol-vial,"2.8k Type Temperature Sensor in Glycol Vial"
160,10201315868986,53038664417594,FGD-0101-TEF,28k-type-ultra-low-temperature-sensor,"2.8K Type Ultra Low Temperature Sensor"
160,10201315868986,53038664450362,FGD-0101-TEFNIST,28k-type-ultra-low-temperature-sensor,"2.8K Type Ultra Low Temperature Sensor"
169,10201316229434,53038666318138,FGD-0107-TEFNIST,28k-type-ultra-low-temperature-sensor-in-glass-bead-vial,"2.8K Type Ultra Low Temperature Sensor in Glass Bead Vial"
169,10201316229434,53038666350906,FGD-0107-TEF,28k-type-ultra-low-temperature-sensor-in-glass-bead-vial,"2.8K Type Ultra Low Temperature Sensor in Glass Bead Vial"
177,10201316688186,53038668579130,FGD-0127-TEF,28k-type-ultra-low-temperature-sensor-in-glycol-bottle,"2.8K Type Ultra Low Temperature Sensor in Glycol Bottle"
177,10201316688186,53038668611898,FGD-0127-TEF-NIST,28k-type-ultra-low-temperature-sensor-in-glycol-bottle,"2.8K Type Ultra Low Temperature Sensor in Glycol Bottle"
117,10201311772986,53038643872058,FGD-0101-NIST,28k-type-weatherproof-temperature-sensor,"2.8K Type Weatherproof Temperature Sensor"
117,10201311772986,53038643904826,FGD-0101,28k-type-weatherproof-temperature-sensor,"2.8K Type Weatherproof Temperature Sensor"
140,10201314558266,53038658781498,FGD-0053,24vdc-power-supply-accessory-for-4-20ma-sensors,"24VDC Power Supply Accessory for 4-20mA Sensors"
154,10201315541306,53038662975802,FGD-0070,24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup,"24VDC Power Supply Accessory for 4-20mA Sensors w/ Battery Backup"
